컷,시작,길이(초),방식,핵심,화면,그림 지시문,움직임,편집,완료
C011,0:40,10.0,그래픽,,금·주황·청록 세 가닥 실이 한 점으로 모이며 로고가 나타남,,,"오버레이 01 (로고). 실은 편집 도구의 선 그리기로 움직이거나, C081의 실을 재사용",
C012,0:50,5.0,정지,,창고 겸 뒷방. 녹슨 금고 위에 멈춘 달력. 문간 빛 속에 서진의 실루엣,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, small rusty green metal safe with a brass dial, chipped paint on the floor with an old wall calendar above it, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt silhouetted in the bright doorway",,,
C013,0:55,4.0,정지,,달력 초근접,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, close-up of an old yellowed paper wall calendar page, blank, curled edges, dust",,오버레이 11 (1997 / 12),
C014,0:59,5.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, Seojin's father, Korean man in his early 50s, short graying hair, reading glasses pushed up on his forehead, brown canvas apron with coffee stains over a navy knit sweater, weary kind face seen through the backroom doorway, turning his head over his shoulder",,,
C015,1:04,3.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt crouching beside small rusty green metal safe with a brass dial, chipped paint, looking back toward the door",,,
C016,1:07,7.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, small Seoul coffee bean shop interior, warm tungsten light, burlap coffee sacks, cramped wooden shelves, cozy but tired mood, close-up of Seojin's father, Korean man in his early 50s, short graying hair, reading glasses pushed up on his forehead, brown canvas apron with coffee stains over a navy knit sweater, weary kind face, shop light reflecting in his glasses, serious quiet expression",,,
C017,1:14,3.0,정지,,빛바랜 기억. 멈춘 재봉틀이 늘어선 빈 공장,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, sepia faded memory, empty 1990s textile factory, rows of idle sewing machines, dust, late afternoon light",,"가장자리 흐림, 필름 잡티",
C018,1:17,5.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt's hand turning the brass dial and pulling open small rusty green metal safe with a brass dial, chipped paint","safe door swings open slowly, dust particles drift through the light beam",,
C019,1:22,4.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, inside the open safe, old worn cloth-bound hardcover book, faded dark blue cloth, frayed corners, blank gold-stamped cover, red ribbon bookmark wrapped in faded cloth, red ribbon bookmark sticking out",,,
C020,1:26,4.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, top-down close-up of old worn cloth-bound hardcover book, faded dark blue cloth, frayed corners, blank gold-stamped cover, red ribbon bookmark cover in Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt's hands, worn cloth texture",,오버레이 12 (펠로폰네소스 전쟁사 / 투키디데스)를 표지에 얹기,
C021,1:30,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, close-up of an open old book page with the red ribbon bookmark, wide blank margin, soft bulb light",,오버레이 10 (손글씨 메모)을 여백에 얹고 천천히 확대. 음악 한 번 '둥',
C022,1:35,3.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, extreme close-up of Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt's eyes reading, bulb reflection in his pupils",,,
C023,1:38,4.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves, close-up of the book page beginning to turn by itself","page flips, paper fibers lift off and swirl into the air like wind",,
C024,1:42,5.0,영상,★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, dim storage backroom, single bare bulb, dust floating in light beams, stacked burlap sacks, old metal shelves walls dissolving into flowing sand, bright sunlight pouring through the gaps, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt shielding his eyes","walls crumble into sand and blow away, sunlight floods the room",,
C025,1:47,3.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, white flash fading into a bright sea horizon, seagulls","white flash fades, seagulls fly across",,
C026,1:50,7.0,영상,★,"흰 석회암 절벽 위에 선 서진, 발아래 코발트빛 바다","anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, epic wide shot, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt standing on a white limestone cliff edge above a vast cobalt sea, olive trees, wind","wind blows his hair and hoodie, slow crane up revealing the sea",오버레이 07 (BC 416 · 멜로스 섬),
C027,1:57,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, telephoto view of the horizon, dozens of ancient Greek triremes with square sails, sunlight glinting on bronze rams and oars",,천천히 확대,
C028,2:02,3.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, extreme close-up of a bronze stylus carving into ancient Greek wooden wax writing tablet with a dark wax surface, bronze stylus, semi-transparent glowing hand",,,
C029,2:05,6.0,영상,★,서진 뒤에 반투명한 투키디데스가 나타남,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch appearing behind Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt on the cliff, holding ancient Greek wooden wax writing tablet with a dark wax surface, bronze stylus, cloak fluttering, glowing edges","ghost fades in from light particles, cloak flutters in the wind",,
C030,2:11,3.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt turning around startled, stepping back",,,
C031,2:14,8.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, medium shot of Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch, calm cold expression, sea behind him",,오버레이 16 (투키디데스 이름 자막 바),
C032,2:22,2.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt turning around startled, stepping back",,,
C033,2:24,8.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch in profile gazing at the distant fleet, wind in his beard",,,
C034,2:32,9.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch raising ancient Greek wooden wax writing tablet with a dark wax surface, bronze stylus toward the camera, the wax surface glowing faintly","tablet rises, wax glows brighter, slow push-in on his eyes",,
C035,2:41,6.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, wide shot of a stone table under an old olive tree, Athenian envoy, clean-shaven stern middle-aged man, emotionless eyes, white chiton with a blue border, bronze Corinthian helmet held under one arm with armored guards on one side, Melian elder, old man with a long white beard, simple undyed wool robe, olive wreath, dignified but frightened eyes and Melian leaders on the other, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt and Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch standing unseen beside a column","leaves sway, slow dolly toward the table",,
C036,2:47,5.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient parchment map of the Aegean, a blue fleet emblem over Athens, a red spear emblem over Sparta, a tiny island between them",,"'아테네', '스파르타', '멜로스' 글자를 편집에서 얹기",
C037,2:52,6.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient parchment map of the Aegean, a blue fleet emblem over Athens, a red spear emblem over Sparta, a tiny island between them",,확대하면서 지도 잉크가 물결처럼 번지는 효과,
C038,2:58,7.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Melian elder, old man with a long white beard, simple undyed wool robe, olive wreath, dignified but frightened eyes leaning forward over the stone table, pleading with dignity",,,
C039,3:05,3.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, close-up of Athenian envoy, clean-shaven stern middle-aged man, emotionless eyes, white chiton with a blue border, bronze Corinthian helmet held under one arm slowly raising his head, no expression",,,
C040,3:08,8.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, close-up of Athenian envoy, clean-shaven stern middle-aged man, emotionless eyes, white chiton with a blue border, bronze Corinthian helmet held under one arm slowly raising his head, no expression",,,
C041,3:16,3.0,영상,★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, olive leaves and ocean spray frozen in mid-air around the stone table","everything freezes, particles hang in the air, subtle slow drift",,
C042,3:19,7.0,영상,★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, extreme close-up of Athenian envoy, clean-shaven stern middle-aged man, emotionless eyes, white chiton with a blue border, bronze Corinthian helmet held under one arm's cold eyes, harsh sunlight, frozen leaves in the foreground","very slow push-in, eyes narrow slightly",오버레이 09 (투키디데스 · 5권 89절),
C043,3:26,3.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, the Melian leaders' pale shocked faces, a clay cup tipping over on the stone table",cup falls and wine spills slowly,,
C044,3:29,3.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt whispering to Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch beside the column, disbelief",,,
C045,3:32,9.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch with arms crossed, faint bitter smile",,"""신의 뜻, 문명, 평화""에 맞춰 C046을 끼워 넣음",
C046,3:38,4.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, three draped objects on pedestals: a golden temple model, a torch, a white dove, the silk drapes being pulled away to reveal a bronze spearhead underneath each",drapes slide off one by one,,
C047,3:45,4.0,영상,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, side close-up, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch's glowing semi-transparent palm covering Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt's eyes",hand slowly lifts away,,
C048,3:49,4.0,영상,★★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, extreme close-up of Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt's eye opening, three small lights reflected in the iris: red, gold, green, the background drained of color","eye opens, iris lights ignite, color drains from the world",,
C049,3:53,6.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows desaturated, Athenian envoy, clean-shaven stern middle-aged man, emotionless eyes, white chiton with a blue border, bronze Corinthian helmet held under one arm standing still, empty space above his head",,오버레이 02 (빈 게이지) → 03 (기본값)으로 차오름. 차오를 때 짧은 전자음,
C050,3:59,2.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt whispering to Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch beside the column, disbelief",,,
C051,4:01,5.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows desaturated, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch pointing at the envoy",,"""두려움, 명예, 이익""에 맞춰 게이지가 한 줄씩 빛남",
C052,4:06,4.0,그래픽,★,,,,오버레이 04 (명예 최대). 금색 게이지가 끝까지 차면서 화면 가장자리에 금빛이 번짐,
C053,4:10,7.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, high aerial view of the Aegean with many small islands, the Athenian fleet surrounding one tiny island",,,
C054,4:17,8.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, silhouettes of people standing on distant neighboring islands, all watching toward one island, dusk light",,,
C055,4:25,4.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, close-up of Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch, cold eyes",,,
C056,4:29,2.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Seojin, 20-year-old Korean male university student, slim, messy black hair with long bangs, sharp tired dark eyes, faint dark circles, oversized charcoal hoodie over a white t-shirt whispering to Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch beside the column, disbelief",,,
C057,4:31,10.0,정지,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows desaturated, Athenian envoy, clean-shaven stern middle-aged man, emotionless eyes, white chiton with a blue border, bronze Corinthian helmet held under one arm standing still, empty space above his head",,오버레이 03. 대사에 맞춰 두려움 → 명예 → 이익 순서로 게이지가 한 번씩 번쩍,
C058,4:41,6.0,입,,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows, Thucydides, ghostly ancient Greek general in his fifties, semi-transparent body with a faint blue-white glow at the edges, short grey beard, deep-set piercing grey eyes, old scar through the left eyebrow, worn dark crimson wool cloak over a plain tunic, bronze brooch turning away toward the sea, cloak moving",,,
C059,4:47,7.0,영상,★,,"anime style, Japanese TV animation look, 2D cel shading, clean confident lineart, painterly detailed background art, cinematic composition, dramatic lighting, subtle film grain, no text, 16:9, ancient Aegean island, sun-bleached white limestone, deep cobalt sea, olive trees, bright Mediterranean sun, crisp shadows city walls on the island seen from the cliff at sunset","time-lapse, sun sets fast, colors shift from gold to cold slate blue, clouds race",,
